Season,Matchweek,Date,HomeTeam,HomeGoals,Home_xG,AwayTeam,AwayGoals,Away_xG,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Shot_Distance,Away_Shot_Distance,Home_Free_Kicks,Away_Free_Kicks,Home_Penalties,Away_Penalties,Home_PSxG,Away_PSxG,Home_%Stopped_Crosses,Away_%Stopped_Crosses,Home_SCA,Away_SCA,Home_GCA,Away_GCA,Home_Passes_Attempted,Away_Passes_Attempted,Home_%Passes_Completed,Away_%Passes_Completed,Home_xA,Away_xA,Home_Key_Passes,Away_Key_Passes,Home_Final_Third_Passes,Away_Final_Third_Passes,Home_PPA,Away_PPA,Home_CrsPA,Away_CrsPA,Home_Progressive_Passes,Away_Progressive_Passes,Home_Points,Away_Points,Home_Standings_Points,Away_Standings_Points,Home_Standings_Rank,Away_Standings_Rank,Home_xPoints,Away_xPoints,Home_PSxG_xPoints,Away_PSxG_xPoints,half_time_home_goals,half_time_away_goals,Home_corners,Away_corners,odds_home_win,odds_draw,odds_away_win,Over,odds_over,odds_under
2024.0,1.0,2023-08-11,Almeria,0.0,1.4,Rayo Vallecano,2.0,2.1,19.0,8.0,5.0,2.0,19.7,21.8,0.0,1.0,0.0,2.0,2.1,0.6,0.0,5.0,35.0,17.0,0.0,3.0,532.0,354.0,84.2,75.7,0.9,0.6,16.0,5.0,29.0,26.0,10.0,5.0,2.0,1.0,39.0,18.0,0,3,0,0,1.0,1.0,0.9172,1.8724,2.3963,0.4274,0.0,2.0,8.0,3.0,2.45,3.3,2.9,0,2.1,1.73
2024.0,1.0,2023-08-11,Burnley,0.0,0.3,Manchester City,3.0,1.9,6.0,17.0,1.0,8.0,14.9,13.9,0.0,0.0,0.0,0.0,2.7,0.0,0.0,14.3,10.0,29.0,0.0,5.0,395.0,740.0,79.2,88.5,0.2,1.3,5.0,14.0,14.0,42.0,3.0,10.0,0.0,2.0,18.0,28.0,0,3,0,0,1.0,1.0,0.3046999999999999,2.5232,2.9506,0.0247,0.0,2.0,6.0,5.0,8.0,5.5,1.33,1,1.67,2.2
2024.0,1.0,2023-08-11,Sevilla,1.0,0.7,Valencia,2.0,1.1,9.0,10.0,3.0,3.0,19.5,16.0,0.0,1.0,0.0,0.0,1.1,1.0,0.0,3.8,17.0,19.0,2.0,4.0,474.0,385.0,71.5,71.4,0.6,0.8,8.0,8.0,24.0,21.0,7.0,7.0,5.0,3.0,23.0,26.0,0,3,0,0,1.0,1.0,1.0116,1.6683,1.4038,1.2913,0.0,0.0,8.0,1.0,1.91,3.5,4.2,1,2.2,1.67
2024.0,1.0,2023-08-11,Nice,1.0,1.2,Lille,1.0,1.3,8.0,12.0,3.0,5.0,17.5,16.9,1.0,0.0,0.0,0.0,2.1,1.5,7.1,0.0,16.0,19.0,2.0,1.0,422.0,625.0,82.2,86.2,0.4,1.2,6.0,10.0,11.0,48.0,3.0,7.0,1.0,2.0,16.0,34.0,1,1,0,0,1.0,1.0,1.304,1.4240000000000002,1.7967,0.9858,1.0,0.0,3.0,3.0,2.6,3.5,2.7,0,1.92,1.98
2024.0,1.0,2023-08-12,Paris S-G,0.0,1.2,Lorient,0.0,0.1,20.0,4.0,4.0,0.0,18.9,27.3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,3.4,37.0,5.0,0.0,0.0,1051.0,298.0,91.7,75.8,2.2,0.2,16.0,2.0,134.0,13.0,18.0,6.0,8.0,0.0,62.0,14.0,1,1,0,0,1.0,1.0,2.3243,0.3815,0.5852,1.8296,0.0,0.0,9.0,2.0,1.33,5.5,7.5,0,1.5,2.63
2024.0,1.0,2023-08-12,Arsenal,2.0,0.8,Nott'ham Forest,1.0,1.2,15.0,6.0,7.0,2.0,19.1,17.3,0.0,0.0,0.0,0.0,0.9,2.0,33.3,0.0,30.0,10.0,4.0,2.0,807.0,228.0,88.7,67.5,0.9,0.9,13.0,5.0,61.0,15.0,13.0,5.0,1.0,0.0,58.0,14.0,3,0,0,0,1.0,1.0,1.0015,1.6996,0.6263000000000001,2.1686,2.0,0.0,8.0,3.0,1.18,7.0,15.0,1,1.44,2.75
2024.0,1.0,2023-08-12,Everton,0.0,2.7,Fulham,1.0,1.5,19.0,9.0,9.0,2.0,15.8,13.2,0.0,0.0,0.0,0.0,1.1,3.3,0.0,0.0,36.0,16.0,0.0,2.0,426.0,600.0,74.2,83.0,1.0,0.5,14.0,7.0,31.0,33.0,8.0,9.0,2.0,3.0,29.0,38.0,0,3,0,0,1.0,1.0,2.0943,0.7263,0.2782,2.6185,0.0,0.0,10.0,4.0,2.2,3.4,3.3,0,2.01,1.89
2024.0,1.0,2023-08-12,Sheffield Utd,0.0,0.5,Crystal Palace,1.0,1.9,8.0,24.0,1.0,8.0,19.4,18.5,0.0,1.0,0.0,0.0,1.9,0.0,0.0,9.1,12.0,44.0,0.0,2.0,297.0,617.0,60.9,81.5,0.2,1.3,5.0,20.0,16.0,36.0,5.0,8.0,1.0,1.0,20.0,42.0,0,3,0,0,1.0,1.0,0.4488999999999999,2.3557,2.7786,0.1107,0.0,0.0,5.0,5.0,3.0,3.3,2.38,0,2.2,1.67
2024.0,1.0,2023-08-12,Las Palmas,1.0,0.9,Mallorca,1.0,1.6,4.0,10.0,1.0,2.0,29.7,19.6,0.0,0.0,1.0,0.0,0.2,1.1,6.3,100.0,10.0,21.0,2.0,1.0,636.0,302.0,85.2,66.9,0.2,0.8,3.0,8.0,33.0,15.0,5.0,4.0,0.0,1.0,37.0,20.0,1,1,0,0,1.0,1.0,0.8535,1.8864,0.5191,2.1526,1.0,0.0,3.0,6.0,2.4,3.0,3.3,0,2.75,1.44
2024.0,1.0,2023-08-12,Bournemouth,1.0,1.3,West Ham,1.0,1.1,14.0,16.0,5.0,2.0,20.7,16.1,1.0,0.0,0.0,0.0,0.7,1.4,0.0,13.3,25.0,26.0,2.0,2.0,566.0,345.0,79.5,67.5,0.5,1.3,9.0,13.0,41.0,21.0,12.0,7.0,2.0,2.0,42.0,30.0,1,1,0,0,1.0,1.0,1.5083,1.2193999999999998,0.8195,1.9073,0.0,0.0,10.0,4.0,2.7,3.4,2.55,0,1.9,2.0
